country,company,bucket,filing_count
ALL,ASUSTeK Computer Inc.,2018-06-01,12
ALL,ASUSTeK Computer Inc.,2018-07-01,18
ALL,ASUSTeK Computer Inc.,2018-08-01,18
ALL,ASUSTeK Computer Inc.,2018-09-01,22
ALL,ASUSTeK Computer Inc.,2018-10-01,11
ALL,ASUSTeK Computer Inc.,2018-11-01,12
ALL,ASUSTeK Computer Inc.,2018-12-01,13
ALL,ASUSTeK Computer Inc.,2019-01-01,13
ALL,ASUSTeK Computer Inc.,2019-03-01,24
ALL,ASUSTeK Computer Inc.,2019-04-01,21
ALL,ASUSTeK Computer Inc.,2019-05-01,6
ALL,ASUSTeK Computer Inc.,2019-06-01,15
ALL,ASUSTeK Computer Inc.,2019-07-01,32
ALL,ASUSTeK Computer Inc.,2019-08-01,8
ALL,ASUSTeK Computer Inc.,2019-09-01,20
ALL,ASUSTeK Computer Inc.,2019-10-01,5
ALL,ASUSTeK Computer Inc.,2019-11-01,9
ALL,ASUSTeK Computer Inc.,2019-12-01,30
ALL,ASUSTeK Computer Inc.,2020-01-01,9
ALL,ASUSTeK Computer Inc.,2020-02-01,15
ALL,ASUSTeK Computer Inc.,2020-03-01,23
ALL,ASUSTeK Computer Inc.,2020-04-01,24
ALL,ASUSTeK Computer Inc.,2020-05-01,15
ALL,ASUSTeK Computer Inc.,2020-06-01,22
ALL,ASUSTeK Computer Inc.,2020-07-01,25
ALL,ASUSTeK Computer Inc.,2020-08-01,15
ALL,ASUSTeK Computer Inc.,2020-09-01,22
ALL,ASUSTeK Computer Inc.,2020-10-01,40
ALL,ASUSTeK Computer Inc.,2020-11-01,23
ALL,ASUSTeK Computer Inc.,2020-12-01,41
ALL,ASUSTeK Computer Inc.,2021-01-01,37
ALL,ASUSTeK Computer Inc.,2021-02-01,18
ALL,ASUSTeK Computer Inc.,2021-03-01,19
ALL,ASUSTeK Computer Inc.,2021-04-01,21
ALL,ASUSTeK Computer Inc.,2021-05-01,38
ALL,ASUSTeK Computer Inc.,2021-06-01,18
